srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR3735519	SRX1891039	SRS1534004	SRP077687	PRJNA239498	Lactiplantibacillus plantarum	AG30	PACBIO_SMRT	PacBio RS	199613302	89411	WGS	GENOMIC	SINGLE	Lactobacillus plantarum AG30
SRR3735517	SRX1891038	SRS1534004	SRP077687	PRJNA239498	Lactiplantibacillus plantarum	AG30	PACBIO_SMRT	PacBio RS	221427591	107158	WGS	GENOMIC	SINGLE	Lactobacillus plantarum AG30
SRR3735516	SRX1891037	SRS1534002	SRP077686	PRJNA237252	Butyrivibrio sp. AE2032	AE2032	PACBIO_SMRT	PacBio RS	427324729	131042	WGS	GENOMIC	SINGLE	Butyrivibrio sp. AE2032
SRR3735515	SRX1891036	SRS1534002	SRP077686	PRJNA237252	Butyrivibrio sp. AE2032	AE2032	PACBIO_SMRT	PacBio RS	420300294	123207	WGS	GENOMIC	SINGLE	Butyrivibrio sp. AE2032
SRR3735514	SRX1891034	SRS1534002	SRP077686	PRJNA237252	Butyrivibrio sp. AE2032	AE2032	PACBIO_SMRT	PacBio RS	192798130	91956	WGS	GENOMIC	SINGLE	Butyrivibrio sp. AE2032
SRR3735513	SRX1891033	SRS1534002	SRP077686	PRJNA237252	Butyrivibrio sp. AE2032	AE2032	PACBIO_SMRT	PacBio RS	185680422	87289	WGS	GENOMIC	SINGLE	Butyrivibrio sp. AE2032
SRR3734707	SRX1890392	SRS1533456	SRP077665	PRJNA324615	Acetivibrio thermocellus DSM 2360	LQRI	PACBIO_SMRT	PacBio RS II	611427362	163482	WGS	GENOMIC	SINGLE	Clostridium thermocellum LQRI genome sequencing
SRR3734708	SRX1890392	SRS1533456	SRP077665	PRJNA324615	Acetivibrio thermocellus DSM 2360	LQRI	PACBIO_SMRT	PacBio RS II	714677233	163482	WGS	GENOMIC	SINGLE	Clostridium thermocellum LQRI genome sequencing
SRR3734299	SRX1890055	SRS1533137	SRP077654	PRJNA321222	Thalassospira sp. KO164	KO164	PACBIO_SMRT	PacBio RS II	514814985	163482	WGS	GENOMIC	SINGLE	PacBio sequencing of Thalassospira sp. strain KO164
SRR3734332	SRX1890055	SRS1533137	SRP077654	PRJNA321222	Thalassospira sp. KO164	KO164	PACBIO_SMRT	PacBio RS II	586073760	163482	WGS	GENOMIC	SINGLE	PacBio sequencing of Thalassospira sp. strain KO164
SRR3732375	SRX1888207	SRS1531599	SRP077625	PRJNA234787	Thermus amyloliquefaciens	YIM 77409	PACBIO_SMRT	PacBio RS	323172158	124815	WGS	GENOMIC	SINGLE	Thermus sp. YIM 77409
SRR3732374	SRX1888206	SRS1531599	SRP077625	PRJNA234787	Thermus amyloliquefaciens	YIM 77409	PACBIO_SMRT	PacBio RS	331144131	119732	WGS	GENOMIC	SINGLE	Thermus sp. YIM 77409
SRR3732373	SRX1888205	SRS1531599	SRP077625	PRJNA234787	Thermus amyloliquefaciens	YIM 77409	PACBIO_SMRT	PacBio RS	239137634	88681	WGS	GENOMIC	SINGLE	Thermus sp. YIM 77409
SRR3732366	SRX1888198	SRS1531597	SRP077623	PRJNA210894	Acetivibrio thermocellus AD2	AD2	PACBIO_SMRT	PacBio RS	332541794	146637	WGS	GENOMIC	SINGLE	Clostridium thermocellum AD2
SRR3732365	SRX1888197	SRS1531597	SRP077623	PRJNA210894	Acetivibrio thermocellus AD2	AD2	PACBIO_SMRT	PacBio RS	355573612	152657	WGS	GENOMIC	SINGLE	Clostridium thermocellum AD2
SRR3732364	SRX1888196	SRS1531597	SRP077623	PRJNA210894	Acetivibrio thermocellus AD2	AD2	PACBIO_SMRT	PacBio RS	150796819	64639	WGS	GENOMIC	SINGLE	Clostridium thermocellum AD2
SRR3732363	SRX1888195	SRS1531597	SRP077623	PRJNA210894	Acetivibrio thermocellus AD2	AD2	PACBIO_SMRT	PacBio RS	432881292	200122	WGS	GENOMIC	SINGLE	Clostridium thermocellum AD2
SRR3732362	SRX1888194	SRS1531597	SRP077623	PRJNA210894	Acetivibrio thermocellus AD2	AD2	PACBIO_SMRT	PacBio RS	398835458	243537	WGS	GENOMIC	SINGLE	Clostridium thermocellum AD2
SRR3732361	SRX1888193	SRS1531597	SRP077623	PRJNA210894	Acetivibrio thermocellus AD2	AD2	PACBIO_SMRT	PacBio RS	440954774	265401	WGS	GENOMIC	SINGLE	Clostridium thermocellum AD2
ERR1471096	ERX1542221	ERS1199872	ERP015977	PRJEB14340	Lactiplantibacillus pentosus MP-10		PACBIO_SMRT	PacBio RS	3272478290	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475887	ERX1546915	ERS1117683	ERP005928	PRJEB6403	Pseudomonas aeruginosa	NCTC13717	PACBIO_SMRT	PacBio RS	347143411	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475886	ERX1546914	ERS1110732	ERP005928	PRJEB6403	Enterococcus faecalis	NCTC8175	PACBIO_SMRT	PacBio RS	2142609460	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475885	ERX1546913	ERS1110731	ERP005928	PRJEB6403	Enterococcus faecalis	NCTC13779	PACBIO_SMRT	PacBio RS	2962565569	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475884	ERX1546912	ERS1110730	ERP005928	PRJEB6403	Streptococcus pyogenes	NCTC13745	PACBIO_SMRT	PacBio RS	2303155315	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475883	ERX1546911	ERS1110729	ERP005928	PRJEB6403	Cedecea davisae	NCTC13724	PACBIO_SMRT	PacBio RS	421352777	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475882	ERX1546910	ERS1110728	ERP005928	PRJEB6403	Klebsiella oxytoca	NCTC13727	PACBIO_SMRT	PacBio RS	2100005892	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
